anio,edo,tipo,sexo,tasa
2003,Nuevo León,trans,Hombres,66.4
2003,Oaxaca,trans,Hombres,114.9
2003,Puebla,trans,Hombres,100.8
2003,Querétaro,trans,Hombres,83.7
2003,Quintana Roo,trans,Hombres,68.6
2003,San Luis Potosí,trans,Hombres,76.5
2003,Sinaloa,trans,Hombres,58.6
2003,Sonora,trans,Hombres,99.2
2003,Tabasco,trans,Hombres,96.4
2003,Tamaulipas,trans,Hombres,62.4
2003,Tlaxcala,trans,Hombres,89.1
2003,Veracruz,trans,Hombres,93.6
2003,Yucatán,trans,Hombres,80.5
2003,Zacatecas,trans,Hombres,71.1
2004,Aguascalientes,trans,Hombres,65.8
2004,Baja California,trans,Hombres,102.6
2004,Baja California Sur,trans,Hombres,87.3
2004,Campeche,trans,Hombres,76.3
2004,Coahuila,trans,Hombres,67.8
2004,Colima,trans,Hombres,64.1
2004,Chiapas,trans,Hombres,114
2004,Chihuahua,trans,Hombres,80.2
2004,Distrito Federal,trans,Hombres,74.7
2004,Durango,trans,Hombres,56.3
2004,Guanajuato,trans,Hombres,78.8
2004,Guerrero,trans,Hombres,74.8
2004,Hidalgo,trans,Hombres,65.9
2004,Jalisco,trans,Hombres,77.8
2004,México,trans,Hombres,84.3
2004,Michoacán,trans,Hombres,69.4
2004,Morelos,trans,Hombres,68
2004,Nayarit,trans,Hombres,65.8
2004,Nuevo León,trans,Hombres,64.2
2004,Oaxaca,trans,Hombres,102.9
2004,Puebla,trans,Hombres,102.2
2004,Querétaro,trans,Hombres,79.8
2004,Quintana Roo,trans,Hombres,79.9
2004,San Luis Potosí,trans,Hombres,69.9
2004,Sinaloa,trans,Hombres,57.3
2004,Sonora,trans,Hombres,95.2
2004,Tabasco,trans,Hombres,85.8
2004,Tamaulipas,trans,Hombres,63.6
2004,Tlaxcala,trans,Hombres,84.3
2004,Veracruz,trans,Hombres,88.5
2004,Yucatán,trans,Hombres,76.9
2004,Zacatecas,trans,Hombres,71.1
2005,Aguascalientes,trans,Hombres,65.5
2005,Baja California,trans,Hombres,102.6
2005,Baja California Sur,trans,Hombres,80.9
2005,Campeche,trans,Hombres,68.8
2005,Coahuila,trans,Hombres,67.4
2005,Colima,trans,Hombres,90.3
2005,Chiapas,trans,Hombres,113.9
2005,Chihuahua,trans,Hombres,84.1
2005,Distrito Federal,trans,Hombres,77.2
2005,Durango,trans,Hombres,64.6
2005,Guanajuato,trans,Hombres,77.4
2005,Guerrero,trans,Hombres,70.5
2005,Hidalgo,trans,Hombres,71
2005,Jalisco,trans,Hombres,79.8
2005,México,trans,Hombres,83.2
2005,Michoacán,trans,Hombres,73.1
2005,Morelos,trans,Hombres,78.3
2005,Nayarit,trans,Hombres,70.7
2005,Nuevo León,trans,Hombres,71.2
2005,Oaxaca,trans,Hombres,98.7
2005,Puebla,trans,Hombres,100.5
2005,Querétaro,trans,Hombres,73.4
2005,Quintana Roo,trans,Hombres,76.3
2005,San Luis Potosí,trans,Hombres,67.8
2005,Sinaloa,trans,Hombres,63.6
2005,Sonora,trans,Hombres,104.6
2005,Tabasco,trans,Hombres,91.5
2005,Tamaulipas,trans,Hombres,65
2005,Tlaxcala,trans,Hombres,86.2
2005,Veracruz,trans,Hombres,88.7
2005,Yucatán,trans,Hombres,81.4
2005,Zacatecas,trans,Hombres,64.9
2006,Aguascalientes,trans,Hombres,68
2006,Baja California,trans,Hombres,101.3
2006,Baja California Sur,trans,Hombres,80.1
2006,Campeche,trans,Hombres,61.5
2006,Coahuila,trans,Hombres,64
2006,Colima,trans,Hombres,76.2
2006,Chiapas,trans,Hombres,109.1
2006,Chihuahua,trans,Hombres,91.4
2006,Distrito Federal,trans,Hombres,79.6
2006,Durango,trans,Hombres,55
2006,Guanajuato,trans,Hombres,79.4
2006,Guerrero,trans,Hombres,65
2006,Hidalgo,trans,Hombres,72.3
2006,Jalisco,trans,Hombres,76.1
2006,México,trans,Hombres,83
2006,Michoacán,trans,Hombres,63.7
2006,Morelos,trans,Hombres,75.3
2006,Nayarit,trans,Hombres,69.1
2006,Nuevo León,trans,Hombres,74.1
2006,Oaxaca,trans,Hombres,93.1
2006,Puebla,trans,Hombres,90.6
2006,Querétaro,trans,Hombres,71.7
2006,Quintana Roo,trans,Hombres,75.7
2006,San Luis Potosí,trans,Hombres,73.8
2006,Sinaloa,trans,Hombres,65.3
2006,Sonora,trans,Hombres,95
2006,Tabasco,trans,Hombres,82
2006,Tamaulipas,trans,Hombres,72.5
2006,Tlaxcala,trans,Hombres,69.6
2006,Veracruz,trans,Hombres,82
2006,Yucatán,trans,Hombres,88.3
2006,Zacatecas,trans,Hombres,62.3
2007,Aguascalientes,trans,Hombres,57.9
2007,Baja California,trans,Hombres,90.4
2007,Baja California Sur,trans,Hombres,78.2
2007,Campeche,trans,Hombres,62.6
2007,Coahuila,trans,Hombres,65.5
2007,Colima,trans,Hombres,73.9
2007,Chiapas,trans,Hombres,108.9
2007,Chihuahua,trans,Hombres,88.3
2007,Distrito Federal,trans,Hombres,79.4
2007,Durango,trans,Hombres,57.6
